Year,Age,Weight,Feed_To_Meet_Gain,Mortality
1925,112,2.5,4.7,18
1935,98,2.86,4.4,14
1940,85,2.89,4,12
1945,84,3.03,4,10
1950,70,3.08,3,8
1955,70,3.07,3,7
1960,63,3.35,2.5,6
1965,63,3.48,2.4,6
1970,56,3.62,2.25,5
1975,56,3.76,2.1,5
1980,53,3.93,2.05,5
1985,49,4.19,2,5
1990,48,4.37,2,5
1995,47,4.67,1.95,5
2000,47,5.03,1.95,5
2005,48,5.37,1.95,4
2006,48,5.47,1.96,5
2007,48,5.51,1.95,4.5
2008,48,5.58,1.93,4.3
2009,47,5.59,1.92,4.1
2010,47,5.7,1.92,4
2011,47,5.8,1.92,3.9
2012,47,5.85,1.9,3.7
2013,47,5.92,1.88,3.7
2014,47,6.01,1.89,4.3
2015,48,6.12,1.89,4.8
2016,47,6.16,1.86,4.5
2017,47,6.2,1.83,4.5
2018,47,6.26,1.82,5
2019,47,6.32,1.8,5
2020,47,6.41,1.79,5
2021,47,6.46,1.79,5.3
2022,47,6.56,1.77,5.3
2023,47,6.54,1.75,5.7
2024,47.4,6.57,1.69,5.93